timestamp,exchange_Auvergne Rhone Alpes_Provence Alpes Cote d'Azur
01/11/2021 19:00,-4000.0
01/11/2021 19:30,-4000.0
01/11/2021 20:00,-4000.0
01/11/2021 20:30,-4000.0
01/11/2021 21:00,-4000.0
01/11/2021 21:30,-4000.0
01/11/2021 22:00,-4000.0
01/11/2021 22:30,-4000.0
01/11/2021 23:00,-4000.0
01/11/2021 23:30,-4000.0
01/12/2021 00:00,-4000.0
01/12/2021 00:30,-4000.0
01/12/2021 01:00,-4000.0
01/12/2021 01:30,-3894.3125
01/12/2021 02:00,-4000.0
01/12/2021 02:30,-4000.0
01/12/2021 03:00,-4000.0
01/12/2021 03:30,-4000.0
01/12/2021 04:00,-4000.0
01/12/2021 04:30,-4000.0
01/12/2021 05:00,-4000.0
01/12/2021 05:30,-4000.0
01/12/2021 06:00,-4000.0
01/12/2021 06:30,-3810.0
01/12/2021 07:00,-3839.0
01/12/2021 07:30,-4000.0
01/12/2021 08:00,-3785.0
01/12/2021 08:30,-4000.0
01/12/2021 09:00,-3093.0
01/12/2021 09:30,-3413.0
01/12/2021 10:00,-4000.0
01/12/2021 10:30,-4000.0
01/12/2021 11:00,-3933.0
01/12/2021 11:30,-3969.0
01/12/2021 12:00,-4000.0
01/12/2021 12:30,-4000.0
01/12/2021 13:00,-3672.0
01/12/2021 13:30,-4000.0
01/12/2021 14:00,-4000.0
01/12/2021 14:30,-4000.0
01/12/2021 15:00,-4000.0
01/12/2021 15:30,-4000.0
01/12/2021 16:00,-4000.0
01/12/2021 16:30,-4000.0
01/12/2021 17:00,-4000.0
01/12/2021 17:30,-3810.0
01/12/2021 18:00,-3620.0
01/12/2021 18:30,-4000.0
01/12/2021 19:00,-3251.0
01/12/2021 19:30,-3338.0
01/12/2021 20:00,-3430.0
01/12/2021 20:30,-4000.0
01/12/2021 21:00,-3752.0
01/12/2021 21:30,-3971.0
01/12/2021 22:00,-4000.0
01/12/2021 22:30,-4000.0
01/12/2021 23:00,-3983.0
01/12/2021 23:30,-4000.0
02/01/2021 00:00,-3269.0
02/01/2021 00:30,-3571.0
02/01/2021 01:00,-4000.0
02/01/2021 01:30,-3752.0
02/01/2021 02:00,-3437.0
02/01/2021 02:30,-4000.0
02/01/2021 03:00,-4000.0
02/01/2021 03:30,-4000.0
02/01/2021 04:00,-4000.0
02/01/2021 04:30,-4000.0
02/01/2021 05:00,-3694.0
02/01/2021 05:30,-3425.0
02/01/2021 06:00,-3573.0
02/01/2021 06:30,-4000.0
02/01/2021 07:00,-4000.0
02/01/2021 07:30,-3771.0
02/01/2021 08:00,-4000.0
02/01/2021 08:30,-3690.0
02/01/2021 09:00,-3679.0
02/01/2021 09:30,-3715.0
02/01/2021 10:00,-4000.0
02/01/2021 10:30,-3511.0
02/01/2021 11:00,-3154.0
02/01/2021 11:30,-2872.0
02/01/2021 12:00,-2649.0
02/01/2021 12:30,-2421.0
02/01/2021 13:00,-2481.0
02/01/2021 13:30,-2817.0
02/01/2021 14:00,-4000.0
02/01/2021 14:30,-3150.0
02/01/2021 15:00,-4000.0
02/01/2021 15:30,-3311.0
02/01/2021 16:00,-3531.0
02/01/2021 16:30,-4000.0
02/01/2021 17:00,-4000.0
02/01/2021 17:30,-4000.0
02/01/2021 18:00,-3779.0
02/01/2021 18:30,-3529.0
02/01/2021 19:00,-3735.0
02/01/2021 19:30,-4000.0
02/01/2021 20:00,-3922.0
02/01/2021 20:30,-3973.0
02/01/2021 21:00,-4000.0
02/01/2021 21:30,-3604.0
02/01/2021 22:00,-3184.0
02/01/2021 22:30,-3193.0
02/01/2021 23:00,-2811.0
02/01/2021 23:30,-2678.5029
02/02/2021 00:00,-3888.5335
02/02/2021 00:30,-4000.0
02/02/2021 01:00,-4000.0
02/02/2021 01:30,-4000.0
02/02/2021 02:00,-4000.0
02/02/2021 02:30,-4000.0
02/02/2021 03:00,-4000.0
02/02/2021 03:30,-4000.0
02/02/2021 04:00,-4000.0
02/02/2021 04:30,-4000.0
02/02/2021 05:00,-4000.0
02/02/2021 05:30,-4000.0
02/02/2021 06:00,-4000.0
02/02/2021 06:30,-4000.0
02/02/2021 07:00,-4000.0
02/02/2021 07:30,-4000.0
02/02/2021 08:00,-4000.0
02/02/2021 08:30,-4000.0
02/02/2021 09:00,-4000.0
02/02/2021 09:30,-4000.0
02/02/2021 10:00,-4000.0
02/02/2021 10:30,-4000.0
02/02/2021 11:00,-4000.0
02/02/2021 11:30,-4000.0
02/02/2021 12:00,-4000.0
02/02/2021 12:30,-4000.0
02/02/2021 13:00,-4000.0
02/02/2021 13:30,-4000.0
02/02/2021 14:00,-4000.0
02/02/2021 14:30,-4000.0
02/02/2021 15:00,-4000.0
02/02/2021 15:30,-4000.0
02/02/2021 16:00,-4000.0
02/02/2021 16:30,-4000.0
02/02/2021 17:00,-4000.0
02/02/2021 17:30,-4000.0
02/02/2021 18:00,-4000.0
02/02/2021 18:30,-3783.0
02/02/2021 19:00,-3458.0
02/02/2021 19:30,-3779.0
02/02/2021 20:00,-3919.0
02/02/2021 20:30,-4000.0
02/02/2021 21:00,-4000.0
02/02/2021 21:30,-4000.0
02/02/2021 22:00,-4000.0
02/02/2021 22:30,-4000.0
02/02/2021 23:00,-3827.0
02/02/2021 23:30,-4000.0
02/03/2021 00:00,-3803.0
02/03/2021 00:30,-4000.0
02/03/2021 01:00,-4000.0
02/03/2021 01:30,-4000.0
02/03/2021 02:00,-4000.0
02/03/2021 02:30,-4000.0
02/03/2021 03:00,-4000.0
02/03/2021 03:30,-4000.0
02/03/2021 04:00,-4000.0
02/03/2021 04:30,-4000.0
02/03/2021 05:00,-4000.0
02/03/2021 05:30,-4000.0
02/03/2021 06:00,-4000.0
02/03/2021 06:30,-4000.0
02/03/2021 07:00,-4000.0
02/03/2021 07:30,-4000.0
02/03/2021 08:00,-4000.0
02/03/2021 08:30,-4000.0
02/03/2021 09:00,-4000.0
02/03/2021 09:30,-3970.0
02/03/2021 10:00,-4000.0
02/03/2021 10:30,-4000.0
02/03/2021 11:00,-4000.0
02/03/2021 11:30,-4000.0
02/03/2021 12:00,-4000.0
02/03/2021 12:30,-4000.0
02/03/2021 13:00,-4000.0
02/03/2021 13:30,-4000.0
02/03/2021 14:00,-4000.0
02/03/2021 14:30,-4000.0
02/03/2021 15:00,-4000.0
02/03/2021 15:30,-4000.0
02/03/2021 16:00,-4000.0
02/03/2021 16:30,-4000.0
02/03/2021 17:00,-4000.0
02/03/2021 17:30,-4000.0
02/03/2021 18:00,-4000.0
02/03/2021 18:30,-3677.0
02/03/2021 19:00,-4000.0
02/03/2021 19:30,-3748.0
02/03/2021 20:00,-3842.0
02/03/2021 20:30,-4000.0
02/03/2021 21:00,-3485.0
02/03/2021 21:30,-3695.0
02/03/2021 22:00,-3669.0
02/03/2021 22:30,-4000.0
02/03/2021 23:00,-4000.0
02/03/2021 23:30,-3760.0
02/04/2021 00:00,-4000.0
02/04/2021 00:30,-4000.0
02/04/2021 01:00,-4000.0
02/04/2021 01:30,-4000.0
02/04/2021 02:00,-4000.0
02/04/2021 02:30,-4000.0
02/04/2021 03:00,-4000.0
02/04/2021 03:30,-4000.0
02/04/2021 04:00,-4000.0
02/04/2021 04:30,-4000.0
02/04/2021 05:00,-4000.0
02/04/2021 05:30,-4000.0
02/04/2021 06:00,-4000.0
02/04/2021 06:30,-4000.0
02/04/2021 07:00,-4000.0
02/04/2021 07:30,-4000.0
02/04/2021 08:00,-4000.0
02/04/2021 08:30,-4000.0
02/04/2021 09:00,-4000.0
02/04/2021 09:30,-4000.0
02/04/2021 10:00,-4000.0
02/04/2021 10:30,-4000.0
02/04/2021 11:00,-4000.0
02/04/2021 11:30,-4000.0
02/04/2021 12:00,-4000.0
02/04/2021 12:30,-4000.0
02/04/2021 13:00,-4000.0
02/04/2021 13:30,-4000.0
02/04/2021 14:00,-4000.0
02/04/2021 14:30,-4000.0
02/04/2021 15:00,-4000.0
02/04/2021 15:30,-4000.0
02/04/2021 16:00,-4000.0
02/04/2021 16:30,-4000.0
02/04/2021 17:00,-4000.0
02/04/2021 17:30,-4000.0
02/04/2021 18:00,-4000.0
02/04/2021 18:30,-4000.0
02/04/2021 19:00,-4000.0
02/04/2021 19:30,-4000.0
02/04/2021 20:00,-4000.0
02/04/2021 20:30,-4000.0
02/04/2021 21:00,-4000.0
02/04/2021 21:30,-4000.0
02/04/2021 22:00,-4000.0
02/04/2021 22:30,-4000.0
02/04/2021 23:00,-4000.0
02/04/2021 23:30,-4000.0
02/05/2021 00:00,-4000.0
02/05/2021 00:30,-4000.0
02/05/2021 01:00,-4000.0
02/05/2021 01:30,-4000.0
02/05/2021 02:00,-4000.0
02/05/2021 02:30,-4000.0
02/05/2021 03:00,-4000.0
02/05/2021 03:30,-4000.0
02/05/2021 04:00,-4000.0
02/05/2021 04:30,-4000.0
02/05/2021 05:00,-4000.0
02/05/2021 05:30,-4000.0
02/05/2021 06:00,-4000.0
02/05/2021 06:30,-4000.0
02/05/2021 07:00,-4000.0
02/05/2021 07:30,-4000.0
02/05/2021 08:00,-4000.0
02/05/2021 08:30,-4000.0
02/05/2021 09:00,-4000.0
